"ID";"StationStart";"Line";"TimeStart";"StationEnd";"TimeEnd";"global_id";
"Локальный идентификатор";"Станция отправления";"Направление Аэроэкспресс";"Время отправления со станции";"Конечная станция направления Аэроэкспресс";"Время прибытия на конечную станцию направления Аэроэкспресс";"global_id";
"37";"Аэропорт Внуково";"Во Внуково";"06:15";"Киевский вокзал";"06:48";"2449494973";
"38";"Аэропорт Внуково";"Во Внуково";"07:15";"Киевский вокзал";"07:48";"2449494974";
"39";"Аэропорт Внуково";"Во Внуково";"08:15";"Киевский вокзал";"08:48";"2449494975";
"40";"Аэропорт Внуково";"Во Внуково";"09:15";"Киевский вокзал";"09:48";"2449494976";
"41";"Аэропорт Внуково";"Во Внуково";"10:15";"Киевский вокзал";"10:48";"2449494977";
"42";"Аэропорт Внуково";"Во Внуково";"11:15";"Киевский вокзал";"11:48";"2449494978";
"43";"Аэропорт Внуково";"Во Внуково";"12:15";"Киевский вокзал";"12:48";"2449494979";
"44";"Аэропорт Внуково";"Во Внуково";"13:15";"Киевский вокзал";"13:48";"2449494980";
"45";"Аэропорт Внуково";"Во Внуково";"14:15";"Киевский вокзал";"14:48";"2449494981";
"46";"Аэропорт Внуково";"Во Внуково";"15:15";"Киевский вокзал";"15:48";"2449494982";
"47";"Аэропорт Внуково";"Во Внуково";"16:15";"Киевский вокзал";"16:48";"2449494983";
"48";"Аэропорт Внуково";"Во Внуково";"17:15";"Киевский вокзал";"17:48";"2449494984";
"49";"Аэропорт Внуково";"Во Внуково";"18:15";"Киевский вокзал";"18:48";"2449494985";
"50";"Аэропорт Внуково";"Во Внуково";"19:15";"Киевский вокзал";"19:48";"2449494986";
"51";"Аэропорт Внуково";"Во Внуково";"20:15";"Киевский вокзал";"20:48";"2449494987";
"52";"Аэропорт Внуково";"Во Внуково";"21:15";"Киевский вокзал";"21:48";"2449494988";
"53";"Аэропорт Внуково";"Во Внуково";"22:15";"Киевский вокзал";"22:48";"2449494989";
"54";"Аэропорт Внуково";"Во Внуково";"23:15";"Киевский вокзал";"23:48";"2449494990";
