Read starts at 21.03.2024 0:03:01
Read ends at 21.03.2024 0:03:01
Read starts at 21.03.2024 0:06:36
Read ends at 21.03.2024 0:06:36
Read starts at 21.03.2024 0:07:46
Read ends at 21.03.2024 0:07:46
StationSelection starts at 21.03.2024 0:07:54
StationSelection starts at 21.03.2024 0:07:56
BothStationSelect starts at 21.03.2024 0:08:00
BothStationSelect starts at 21.03.2024 0:08:08
BothStationSelect starts at 21.03.2024 0:08:12
Read starts at 21.03.2024 0:20:31
Read ends at 21.03.2024 0:20:31
StationSelection starts at 21.03.2024 0:20:51
StationSelection starts at 21.03.2024 0:20:55
BothStationSelect starts at 21.03.2024 0:22:21
BothStationSelect starts at 21.03.2024 0:24:23
SortTimeEnd starts at 21.03.2024 0:25:37
SortTimeEnd ends at 21.03.2024 0:25:51
SortTimeStart starts at 21.03.2024 0:26:08
SortTimeStart ends at 21.03.2024 0:26:17
Write starts at 21.03.2024 0:26:56
Write ends at 21.03.2024 0:26:56
Write starts at 21.03.2024 0:27:02
Write ends at 21.03.2024 0:27:02
Read starts at 21.03.2024 0:30:08
Read ends at 21.03.2024 0:30:08
StationSelection starts at 21.03.2024 0:30:12
StationSelection starts at 21.03.2024 0:30:20
StationSelection ends at 21.03.2024 0:30:20
BothStationSelect starts at 21.03.2024 0:30:25
SortTimeStart starts at 21.03.2024 0:30:27
SortTimeStart ends at 21.03.2024 0:30:27
SortTimeEnd starts at 21.03.2024 0:30:29
SortTimeEnd ends at 21.03.2024 0:30:29
Write starts at 21.03.2024 0:30:34
Write ends at 21.03.2024 0:30:34
Write starts at 21.03.2024 0:30:36
Write ends at 21.03.2024 0:30:36
Read starts at 21.03.2024 0:30:57
Read ends at 21.03.2024 0:30:57
Read начал работу в 21.03.2024 1:28:31
Read закончил работу в 21.03.2024 1:28:31
StationSelection начал работу в 21.03.2024 1:28:36
StationSelection начал работу в 21.03.2024 1:28:56
StationSelection начал работу в 21.03.2024 1:29:30
StationSelection начал работу в 21.03.2024 1:29:46
StationSelection закончил работу в 21.03.2024 1:29:46
SortTimeStart начал работу в 21.03.2024 1:29:52
SortTimeStart закончил работу в 21.03.2024 1:29:52
SortTimeEnd начал работу в 21.03.2024 1:29:53
SortTimeEnd закончил работу в 21.03.2024 1:29:53
BothStationSelect начал работу в 21.03.2024 1:29:58
Write начал работу в 21.03.2024 1:30:01
Write закончил работу в 21.03.2024 1:30:01
Write начал работу в 21.03.2024 1:30:02
Write закончил работу в 21.03.2024 1:30:02
Read начал работу в 21.03.2024 1:30:12
Read закончил работу в 21.03.2024 1:30:12
StationSelection начал работу в 21.03.2024 1:30:15
StationSelection начал работу в 21.03.2024 1:30:20
StationSelection закончил работу в 21.03.2024 1:30:20
BothStationSelect начал работу в 21.03.2024 1:30:26
SortTimeStart начал работу в 21.03.2024 1:30:28
SortTimeStart закончил работу в 21.03.2024 1:30:28
SortTimeEnd начал работу в 21.03.2024 1:30:29
SortTimeEnd закончил работу в 21.03.2024 1:30:29
Write начал работу в 21.03.2024 1:30:30
Write закончил работу в 21.03.2024 1:30:30
Write начал работу в 21.03.2024 1:30:32
Write закончил работу в 21.03.2024 1:30:32
Read начал работу в 21.03.2024 1:30:41
Read закончил работу в 21.03.2024 1:30:41
Write начал работу в 21.03.2024 1:30:43
Write закончил работу в 21.03.2024 1:30:43
Read начал работу в 21.03.2024 1:30:49
Read закончил работу в 21.03.2024 1:30:49
StationSelection начал работу в 21.03.2024 1:31:08
